# omega p_opt EA_viol_analytic
0.010000 0.454384 0.398406
0.020000 0.437708 0.561072
0.030000 0.425445 0.684201
0.040000 0.415636 0.786542
0.050000 0.407297 0.875389
0.060000 0.399940 0.954493
0.070000 0.393073 1.026093
0.080000 0.386697 1.091649
0.090000 0.381301 1.152181
0.100000 0.375415 1.208432
0.110000 0.370511 1.260964
0.120000 0.365606 1.310213
0.130000 0.361191 1.356529
0.140000 0.356286 1.400194
0.150000 0.352362 1.441440
0.160000 0.347948 1.480462
0.170000 0.344024 1.517424
0.180000 0.339610 1.552465
0.190000 0.335686 1.585706
0.200000 0.332252 1.617251
0.210000 0.328328 1.647190
0.220000 0.324404 1.675603
0.230000 0.320480 1.702560
0.240000 0.317047 1.728121
0.250000 0.313123 1.752341
0.260000 0.309690 1.775269
0.270000 0.305766 1.796945
0.280000 0.302332 1.817409
0.290000 0.298408 1.836694
0.300000 0.294484 1.854828
0.310000 0.290561 1.871837
0.320000 0.287127 1.887743
0.330000 0.283203 1.902566
0.340000 0.278789 1.916321
0.350000 0.274865 1.929023
0.360000 0.270450 1.940680
0.370000 0.266036 1.951301
0.380000 0.261622 1.960890
0.390000 0.257207 1.969450
0.400000 0.252302 1.976978
0.410000 0.246907 1.983470
0.420000 0.241512 1.988917
0.430000 0.235626 1.993305
0.440000 0.229249 1.996617
0.450000 0.222382 1.998827
0.460000 0.215025 1.999899
0.470000 0.110551 2.000000
0.480000 0.402392 2.000000
0.490000 0.023243 2.000000
0.500000 0.500000 2.000000
