# omega, entangled_adv, non_entangled_adv
(0.01000, 1.0047343193, 1.0004901865)
(0.02000, 1.0093110993, 1.0004798878)
(0.03000, 1.0138186562, 1.0004698503)
(0.04000, 1.0182891699, 1.0004600593)
(0.05000, 1.0227417484, 1.0004505038)
(0.06000, 1.0271897624, 1.0004411790)
(0.07000, 1.0316434727, 1.0004320521)
(0.08000, 1.0361112696, 1.0004231465)
(0.09000, 1.0406003120, 1.0004144383)
(0.10000, 1.0451169784, 1.0004059204)
(0.11000, 1.0496670643, 1.0003975865)
(0.12000, 1.0542559686, 1.0003894258)
(0.13000, 1.0588888608, 1.0003814376)
(0.14000, 1.0635707181, 1.0003736094)
(0.15000, 1.0683064328, 1.0003659398)
(0.16000, 1.0731008586, 1.0003584221)
(0.17000, 1.0779588660, 1.0003510506)
(0.18000, 1.0828853865, 1.0003438200)
(0.19000, 1.0878854499, 1.0003367281)
(0.20000, 1.0929642233, 1.0003297633)
(0.21000, 1.0981270568, 1.0003229288)
(0.22000, 1.1033794713, 1.0003162179)
(0.23000, 1.1087272962, 1.0003096265)
(0.24000, 1.1141766031, 1.0003031511)
(0.25000, 1.1197338049, 1.0002967880)
(0.26000, 1.1254056785, 1.0002905339)
(0.27000, 1.1311994276, 1.0002843865)
(0.28000, 1.1371227254, 1.0002783402)
(0.29000, 1.1431837748, 1.0002723947)
(0.30000, 1.1493913803, 1.0002665459)
(0.31000, 1.1557550231, 1.0002607934)
(0.32000, 1.1622849468, 1.0002551296)
(0.33000, 1.1689922475, 1.0002495631)
(0.34000, 1.1758890248, 1.0002440766)
(0.35000, 1.1829884780, 1.0002386749)
(0.36000, 1.1903051000, 1.0002333558)
(0.37000, 1.1978548664, 1.0002281197)
(0.38000, 1.2056554689, 1.0002229600)
(0.39000, 1.2137266254, 1.0002178774)
(0.40000, 1.2220904511, 1.0002128712)
(0.41000, 1.2307719412, 1.0002079384)
(0.42000, 1.2397996260, 1.0002030791)
(0.43000, 1.2492064468, 1.0001982901)
(0.44000, 1.2590310835, 1.0001935731)
(0.45000, 1.2693199649, 1.0001889276)
(0.46000, 1.2801307477, 1.0001843531)
(0.47000, 1.2915391884, 1.0001798518)
(0.48000, 1.3036557672, 1.0001754310)
(0.49000, 1.3166839323, 1.0001711067)
(0.50000, 1.3333333340, 1.0000000006)
