omega,non_EA,EA
0.01000000,0.92080000,0.91586581
0.02000000,0.84320000,0.83391162
0.03000000,0.76720000,0.75350931
0.04000000,0.69280000,0.67811493
0.05000000,0.62000000,0.60118291
0.06000000,0.54880000,0.52358614
0.07000000,0.47920000,0.45199200
0.08000000,0.41120000,0.38084976
0.09000000,0.34480000,0.30921268
0.10000000,0.28000000,0.24438308
0.11000000,0.21680000,0.17726191
0.12000000,0.15520000,0.12126997
0.13000000,0.09520000,0.05493613
0.14000000,0.03680000,-0.01086270
0.15000000,-0.02000000,-0.07129765
0.16000000,-0.07520000,-0.12765284
0.17000000,-0.12880000,-0.17749579
0.18000000,-0.18080000,-0.23617079
0.19000000,-0.23120000,-0.28463865
0.20000000,-0.28000000,-0.33347896
0.21000000,-0.32720000,-0.38740421
0.22000000,-0.37280000,-0.43337811
0.23000000,-0.41680000,-0.47816567
0.24000000,-0.45920000,-0.51802465
0.25000000,-0.50000000,-0.56053415
0.26000000,-0.53920000,-0.59675065
0.27000000,-0.57680000,-0.63082343
0.28000000,-0.61280000,-0.67338148
0.29000000,-0.64720000,-0.70473101
0.30000000,-0.68000000,-0.73695373
0.31000000,-0.71120000,-0.76989968
0.32000000,-0.74080000,-0.79860465
0.33000000,-0.76880000,-0.82058050
0.34000000,-0.79520000,-0.84603784
0.35000000,-0.82000000,-0.86833228
0.36000000,-0.84320000,-0.89135290
0.37000000,-0.86480000,-0.91057293
0.38000000,-0.88480000,-0.92655913
0.39000000,-0.90320000,-0.94439396
0.40000000,-0.92000000,-0.95782518
0.41000000,-0.93520000,-0.96712443
0.42000000,-0.94880000,-0.97975416
0.43000000,-0.96080000,-0.98510425
0.44000000,-0.97120000,-0.99377372
0.45000000,-0.98000000,-0.99521832
0.46000000,-0.98720000,-0.99925727
0.47000000,-0.99280000,-1.00000000
0.48000000,-0.99680000,-1.00000000
0.49000000,-0.99920000,-1.00000003
