# w0Avg, cPguess, qPguess
(0.2, 0.9003362257019395, 0.974879786442716)
(0.21000000000000002, 0.9076306718276163, 0.9794208528175545)
(0.22000000000000003, 0.9145554227110618, 0.9586838566001884)
(0.23000000000000004, 0.9211287250269855, 0.9638371782494429)
(0.24000000000000005, 0.9273667787542121, 0.9899498872194263)
(0.25000000000000006, 0.9332840514942383, 0.9925261472406915)
(0.26000000000000006, 0.9388935932568967, 0.9768242132564178)
(0.2700000000000001, 0.9442067751979735, 0.9803936802220079)
(0.2800000000000001, 0.9492342843721457, 0.983614486903082)
(0.2900000000000001, 0.9539856259514418, 0.9864958334983331)
(0.3000000000000001, 0.9584695335681583, 0.9995215770631496)
(0.3100000000000001, 0.9626939238510499, 0.9998990811008194)
(0.3200000000000001, 0.9666662649727877, 0.9932720722895171)
(0.3300000000000001, 0.970392031947387, 0.9949518840336138)
(0.34000000000000014, 0.973877121126441, 0.9963643566689901)
(0.35000000000000014, 0.977126902493305, 0.9975219768262493)
(0.36000000000000015, 0.9801458864501471, 0.9984384655744224)
(0.37000000000000016, 0.9829402346847766, 0.9991273358100936)
(0.38000000000000017, 0.9855111687928645, 0.9996019001321181)
(0.3900000000000002, 0.9878633686577213, 0.9998811374784333)
(0.4000000000000002, 0.9900004580982599, 0.9999980403644888)
(0.4100000000000002, 0.9919252017726223, 0.9999993146727535)
(0.4200000000000002, 0.9936449275470909, 0.9999993985730081)
(0.4300000000000002, 0.9951507008674352, 0.999999753221363)
(0.4400000000000002, 0.9964507913426484, 0.9999999154203243)
(0.45000000000000023, 0.9975466857178494, 0.9999999263423716)
(0.46000000000000024, 0.998438944789458, 0.9999982512934946)
