omega,non_EA,EA
0.02000000,0.84320000,0.84266978
0.03000000,0.76720000,0.75993649
0.04000000,0.69280000,0.67553499
0.05000000,0.62000000,0.61515344
0.06000000,0.54880000,0.53321557
0.07000000,0.47920000,0.47621582
0.08000000,0.41120000,0.40069444
0.09000000,0.34480000,0.32613707
0.10000000,0.28000000,0.27125027
0.11000000,0.21680000,0.20390402
0.12000000,0.15520000,0.13024309
0.13000000,0.09520000,0.08438051
0.14000000,0.03680000,-0.00227313
0.15000000,-0.02000000,-0.02253593
0.16000000,-0.07520000,-0.09212060
0.17000000,-0.12880000,-0.13883929
0.18000000,-0.18080000,-0.18949401
0.19000000,-0.23120000,-0.23367640
0.20000000,-0.28000000,-0.28308415
0.21000000,-0.32720000,-0.34589304
0.22000000,-0.37280000,-0.37298918
0.23000000,-0.41680000,-0.44400990
0.24000000,-0.45920000,-0.46026231
0.25000000,-0.50000000,-0.52282916
0.26000000,-0.53920000,-0.54503797
0.27000000,-0.57680000,-0.57751644
0.28000000,-0.61280000,-0.65342815
0.29000000,-0.64720000,-0.71449894
0.30000000,-0.68000000,-0.70200306
0.31000000,-0.71120000,-0.73927831
0.32000000,-0.74080000,-0.74127830
0.33000000,-0.76880000,-0.76901897
0.34000000,-0.79520000,-0.80865252
0.35000000,-0.82000000,-0.82011393
0.36000000,-0.84320000,-0.89602473
0.37000000,-0.86480000,-0.90665333
0.38000000,-0.88480000,-0.88496909
0.39000000,-0.90320000,-0.94046662
0.40000000,-0.92000000,-0.92082344
0.41000000,-0.93520000,-0.93920870
0.42000000,-0.94880000,-0.97576783
0.43000000,-0.96080000,-0.96080106
0.44000000,-0.97120000,-0.99713244
0.45000000,-0.98000000,-0.98076707
0.46000000,-0.98720000,-0.99490462
0.47000000,-0.99280000,-0.99695601
0.48000000,-0.99680000,-1.00000000
0.49000000,-0.99920000,-0.99923529
0.50000000,-1.00000000,-1.00000001
